nohup: ignoring input
Device: cuda
Loading note model from /workspace/scripts/../models/pretrained/CRNN_note_F1=0.9677_pedal_F1=0.9186.pth
Building datasets...
Train segments: 57200, Val segments: 7342
Starting training (max_steps=70000, starting_step=0)
[step 1800/70000] loss=0.5952 lr=1.0e-05 (0.81s/step, ~15h26m left)
[step 1810/70000] loss=0.5872 lr=1.0e-05 (0.81s/step, ~15h25m left)
[step 1820/70000] loss=0.5882 lr=1.0e-05 (0.81s/step, ~15h24m left)
[step 1830/70000] loss=0.5988 lr=1.0e-05 (0.81s/step, ~15h23m left)
[step 1840/70000] loss=0.6211 lr=1.0e-05 (0.81s/step, ~15h25m left)
[step 1850/70000] loss=0.5896 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 1860/70000] loss=0.5891 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 1870/70000] loss=0.5872 lr=1.0e-05 (0.81s/step, ~15h21m left)
[step 1880/70000] loss=0.5856 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 1890/70000] loss=0.6106 lr=1.0e-05 (0.81s/step, ~15h18m left)
[step 1900/70000] loss=0.5927 lr=1.0e-05 (0.81s/step, ~15h20m left)
[step 1910/70000] loss=0.5826 lr=1.0e-05 (0.81s/step, ~15h18m left)
[step 1920/70000] loss=0.5781 lr=1.0e-05 (0.81s/step, ~15h23m left)
[step 1930/70000] loss=0.6074 lr=1.0e-05 (0.82s/step, ~15h26m left)
[step 1940/70000] loss=0.5725 lr=1.0e-05 (0.82s/step, ~15h25m left)
[step 1950/70000] loss=0.5892 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 1960/70000] loss=0.5849 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 1970/70000] loss=0.5960 lr=1.0e-05 (0.81s/step, ~15h20m left)
[step 1980/70000] loss=0.5928 lr=1.0e-05 (0.81s/step, ~15h22m left)
[step 1990/70000] loss=0.6044 lr=1.0e-05 (0.81s/step, ~15h21m left)
[step 2000/70000] loss=0.5943 lr=1.0e-05 (0.81s/step, ~15h23m left)
[step 2010/70000] loss=0.5975 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 2020/70000] loss=0.5789 lr=1.0e-05 (0.82s/step, ~15h23m left)
[step 2030/70000] loss=0.5876 lr=1.0e-05 (0.82s/step, ~15h24m left)
